GloboLakes_ID,LakeName,Latitude,Longitude,Country,Type,Elevation,LakeSize,Group,OverallAvg,OverallMeanAmp,misclassified
146,SAINT CLAIR,42.5,-82.73,Canada; United States,Lake,174,58,9,10.14759257,23.65969349,FALSE
147,LESSER SLAVE Lake,55.43,-115.49,Canada,Lake,604,86,5,5.669424392,18.86919578,FALSE
149,ESKIMO Lakes,69.1,-132.76,Canada,Lake,4,178,4,1.860762182,11.72334151,FALSE
150,TOBA,2.61,98.9,Indonesia,Lake,898,46,3,26.54319851,1.007485877,FALSE
151,RED Lake (Upper & Lower),48.04,-95.08,United States,Lake,358,69,5,7.683064802,22.6353226,FALSE
153,de CHAPALA,20.21,-103.05,Mexico,Lake,1573,35,2,21.732679,6.986630587,TRUE
154,"GURI, Embalse de",7.2,-62.83,Venezuela,Reservoir,329,111,3,27.74751875,2.318268996,FALSE
156,EYASI,-3.58,35.04,Tanzania,Lake,1023,38,6,23.38860389,5.661542942,FALSE
157,Päijänne,61.71,25.49,Finland,Lake,95,56,5,6.174761635,19.00776954,FALSE
158,SAINT JEAN,48.66,-72.02,Canada,Reservoir,97,60,5,6.914328229,20.66870206,FALSE
160,BELOYE,60.18,37.64,Russia,Lake,122,89,5,6.01804625,20.90593711,FALSE
163,MÄLAREN,59.44,16.19,Sweden,Lake,18,81,9,7.722003849,20.72763909,TRUE
165,CHAMPLAIN,44.45,-73.27,United States; Canada,Lake,35,71,9,9.31584901,22.51759333,FALSE
166,ABAYA Lake,6.3,37.83,Ethiopia,Lake,1249,48,6,25.38317774,2.71747967,FALSE
167,O'HIGGINS/SAN MARTÍN Lake,-48.75,-72.84,Chile; Argentina,Lake,330,87,7,7.525506285,3.934456691,FALSE
171,VIEDMA Lake,-49.59,-72.56,Argentina,Lake,297,78,7,7.725764626,5.640699156,FALSE
172,GOD'S Lake,54.62,-94.21,Canada,Lake,181,71,4,4.669411396,17.88554991,TRUE
173,RAZAZZA,32.78,43.66,Iraq,Reservoir,36,66,2,21.6874574,18.83586186,FALSE
176,MANAGUA,12.32,-86.35,Nicaragua,Lake,56,45,3,28.09043818,3.790141352,FALSE
179,ZHARI NAMCO,30.9,85.61,China,Lake,4743,43,5,5.626915764,14.04069341,TRUE
181,BOSTEN Lake,41.98,87.07,China,Lake,1062,52,9,11.53793138,25.06359359,FALSE
186,KUMSKOYE VODOKHRANILISHCHE,65.62,32.09,Russia,Lake,112,90,4,3.959891611,15.29946517,FALSE
