"","GloboLakes_ID","LakeName","Latitude","Longitude","Country","Type","Elevation","LakeSize","Group","OverallAvg","OverallMeanAmp"
"597",1997,"SYRKOVOYE",60.65,64.98,"Russia","Lake",60,10,5,4.81279958789037,22.5549935774757
"598",2012,"PUEBLO VIEJO",22.14,-97.89,"Mexico","Lagoon",9,4,3,26.7651428069302,10.31264858004
"599",2015,"BARROS, Lagoa dos",-29.93,-50.37,"Brazil","Lake",136,6,6,21.374568797356,11.7860812221607
"600",2018,"YUELIANG Lake",45.7,123.87,"China","Lake",106,15,9,8.48307435328524,26.2097334362143
"601",2019,"TURSUNSKIY TUMAN",60.56,63.96,"Russia","Lake",46,9,5,5.24656096342827,22.7038643671318
"602",2021,"LAWFORD Lake",54.49,-96.66,"Canada","Lake",207,6,5,5.82217632876315,20.8651773260649
"603",2027,"KOSTROMSKOYE",57.92,40.72,"Russia","Lake",108,8,5,7.18731836070937,24.3838859225706
"604",2048,"LINGGO Lake",33.85,88.58,"China","Lake",5097,7,4,2.31565389651161,9.30608230368661
"605",2054,"VUOHIJÄRVI",61.18,26.7,"Finland","Lake",82,7,5,5.87154298686524,20.9562196304655
"606",2064,"KAWEENAKUMIK Lake",52.82,-99.51,"Canada","Lake",259,7,5,6.67729126204588,23.2383574770866
"607",2092,"CASTILLOS, Laguna de",-34.33,-53.9,"Uruguay","Lake",8,7,8,17.7096337093181,13.1003234259778
"608",2097,"PAKWASH Lake",50.75,-93.53,"Canada","Lake",353,6,5,5.79833463745759,21.0286070450409
"609",2099,"MONTE, Laguna del",-36.99,-62.47,"Argentina","Lake",113,10,8,15.8063921444381,15.6718541037733
"610",2102,"MAWDESLEY Lake",54.03,-100.63,"Canada","Lake",257,5,5,6.37213403272447,22.2826315567297
"611",2104,"DATONG Lake",29.21,112.49,"China","Lake",28,4,2,20.932916106411,22.2282511259335
"612",2107,"OROTKO",70.84,138.39,"Russia","Lake",9,22,4,1.50784255201277,16.1600662543274
"613",2111,"CIENAGA CHILLOA",9.15,-74.06,"Colombia","Lake",27,6,3,31.7594535789299,2.92570463965384
"614",2112,"ITARIM",-2.2,-54.7,"Brazil","Lake",17,24,3,29.8216388951595,0.697417584018581
"615",2117,"BIRCH Lake",62.07,-116.57,"Canada","Lake",194,11,5,4.86442253459876,21.1962765810287
"616",2129,"KAHUL Lake",45.43,28.43,"Ukraine; Moldova","Lake",10,7,9,12.3038250693091,26.5423946736283
"617",2130,"TADENET Lake",68.64,-126.09,"Canada","Lake",182,13,4,2.34081328362907,13.751027504447
"618",2132,"SPRING Lake",41.99,-90.15,"United States","Lake",178,4,9,10.1694679263561,24.8907821470687
"619",2148,"KISHI QARAOY KOLI",54.03,71.34,"Kazakhstan","Lake",48,8,9,8.36941038023925,27.3242137813484
"620",2156,"CHANGDANG Lake",31.61,119.55,"China","Lake",1,7,1,18.6746781238959,26.6154548265437
"621",2162,"GULL Lake",52.54,-114.01,"Canada","Lake",913,8,5,5.63639696860771,19.9816123474854
"622",2167,"LUBANS",56.77,26.88,"Latvia","Lake",105,8,9,7.72008526657509,23.7622339322198
"623",2168,"MILLWOOD Lake",33.77,-93.96,"United States","Lake",85,6,2,19.8408663495702,22.4768335144263
"624",2179,"SEMMENS Lake",55.04,-94.16,"Canada","Lake",167,6,5,4.89339869270432,20.3689333716605
"625",2190,"CHILA, Laguna de",22.22,-98.08,"Mexico","Lake",9,4,3,28.1692041291664,11.8852419962152
"626",2192,"BUFFALO Lake",52.48,-112.92,"Canada","Lake",792,6,5,6.22008922544753,20.7709892074989
"627",2201,"BILIKOL",43.04,70.7,"Kazakhstan","Lake",436,9,9,12.52146160538,26.9706252023525
"628",2226,"KHANSKOYE",46.24,38.35,"Russia","Lake",6,7,9,11.3578343073025,25.9085285153032
"629",2228,"ZZZZ",-52.04,-72.47,"Chile","Lake",86,7,7,6.28502306936647,12.5697343230737
